id,clinical_case,cc_question_number,question,answer,medical_subject,question_type,a_signal_gravite
120,"Un homme de 60 ans est accompagné à la consultation par son épouse. Il ne se plaint que d’une douleur au genou gauche. Sa femme s’inquiète car il oublie les évènements récents, il répète les mêmes questions et il bute sur des mots. Elle a également observé qu’il tient bizarrement sa brosse à dent lors de sa toilette du soir et qu’il confond les dates. Elle précise qu’il est moins actif et qu’il semble se désintéresser de ses activités antérieures. Elle ne le trouve pas triste, mais apathique. Elle est obligée de l’accompagner pour faire les courses car il oublie ce qu’il doit acheter et se trompe dans la monnaie. Les oublis ont commencé au décours de l’enterrement de leur nièce il y a 7 mois. Dans les antécédents, on trouve une hypertension artérielle mal équilibrée et un diabète non insulino-dépendant.",1,Quels symptômes neurologiques révèlent les troubles décrits ?,"Amnésie antéro-grade, manque du mot, apraxie, désorientation spatio-temporel, apathie",Neurology,Reasoning,True
233,"M. Robert D, âgé de 85 ans, diabétique sous insuline, est amené aux urgences pour malaise.
 Ses paramètres vitaux sont : TA 85/45mmHg, FC 117/min, T 39,6°, FR 25/min, SpO2 100%. 
 M. D est confus, somnolent et présente des marbrures ainsi qu’un placard érythémateux et chaud au niveau de la jambe droite. 
 Lors de la stimulation douloureuse, il ouvre les yeux et fléchit légèrement le bras. Après 2 litres de sérum physiologique la tension artérielle remonte à 90/55. ",1,Quel est le score de Glasgow de ce patient ?  ,"Y : 2 (ouverture à la douleur)
 V : 4 (confuse)
 M : 3 (flexion lente du bras, décortication)
 Donc Glasgow = 9 ",Emergency Medicine,Understanding,True
236,"Melle Pamella A, consulte pour dyspnée depuis son retour de Los Angeles (8 h de vol) où elle tournait son dernier film. Elle présente comme seul antécédent 3 fausses couches. Ses paramètres vitaux sont : TA 120/70 mmHg, FC 115/min, FR 27/min, SpO2 97%, T 37,9° Elle ne présente aucun signe de choc. ",1,"L’auscultation pulmonaire est normale, que recherchez-vous lors de votre examen clinique?","Suspicion d’EP : donc on recherche 
 Calcul du score de Genève : probabilité faible si <2, intermédiaire entre 2 et 4 et forte à partir de 5
 Des signes de phlébite : douleur sur le trajet veineux, chaleur, tumeur, rougeur de la jambe
 Tachycardie 
 Dyspnée
 Désaturation 
 Fébricule 
 Douleur thoracique
 Signes d’insuffisance ventriculaire droite
 Signes de gravité : choc, FC>125, polypnée>25, cyanose, marbrures…",Emergency Medicine,Reasoning,True
250,"M. R, 50 ans, est admis aux urgences de votre hôpital car il se sent essoufflé depuis peu et il vient de perdre connaissance  brutalement alors qu’il marchait rapidement vers la gare. Il n’a pas d’antécédent particulier. Il signale un « souffle au cœur » connu depuis longtemps mais jamais exploré. Ses facteurs de risque cardio-vasculaire sont un diabète de type 2 et un tabagisme ancien sevré (35 paquets année).  Vous l’examinez. Vous constatez un score Glasgow 15, une pression artérielle à 110/80 mmHg, un souffle systolique à  la base du cœur. Le rythme cardiaque est régulier. La saturation en oxygène est à 94%. La radiographie du thorax est normale. Le dosage de troponine est négatif.",1,"Quels peuvent être les deux principaux mécanismes de cette syncope d’effort? A ce stade, quelles sont les trois principales étiologies à évoquer ?","Mécanismes : baisse brutale de la perfusion cérébrale >50%, pas d’adaptation du débit cardiaque à l’effort
 Etiologies évoquées :
 - Bicuspidie : sujet jeune
 - Maladie de Monckeberg (dégénératif) : plutôt chez le sujet âgé
 - Rhumatisme articulaire aigu : rare",Cardiology,Reasoning,True
253,"M. R, 50 ans, est admis aux urgences de votre hôpital car il se sent essoufflé depuis peu et il vient de perdre connaissance  brutalement alors qu’il marchait rapidement vers la gare. Il n’a pas d’antécédent particulier. Il signale un « souffle au cœur » connu depuis longtemps mais jamais exploré. Ses facteurs de risque cardio-vasculaire sont un diabète de type 2 et un tabagisme ancien sevré (35 paquets année).  Vous l’examinez. Vous constatez un score Glasgow 15, une pression artérielle à 110/80 mmHg, un souffle systolique à  la base du cœur. Le rythme cardiaque est régulier. La saturation en oxygène est à 94%. La radiographie du thorax est normale. Le dosage de troponine est négatif. L’échocardiographie retrouve un RAC serré sur bicuspidie avec une surface à 0.4cm²/m², un gradient moyen à 52mmHg, une Vmax à 4.7m/s, une FEVG à 57%. M. R bénéficie d’un remplacement valvulaire aortique par valve mécanique St Jude n° 22, les suites opératoires sont simples.",4,Détaillez les principes de la prise en charge au long cours de M. R ?,"Paraclinique :
 - ETT à 3 mois (référence) puis 1 fois par an : surface prothèse, gradient transprothétique, fuite, fonction VG, HTAP
 - Radio thoracique 
 - Radiocinéma si suspicion de dysfonction
 - ETO si suspicion d’EI, désinsertion, dysfonction de prothèse
 Cliniquement 
 - Cardiologue tous les 4 mois la 1ère année puis 1-2 fois/an
 - MT : 
 - Auscultation de la valve régulière 
 - Recherche de fièvre et foyer infectieux
 - Signe d’insuffisance cardiaque
 Suivi anticoagulation efficace à vie :
 - INR maintenant à la valeur cible selon la prothèse et le patient
 - Pas d’arrêt de l’anticoagulation sauf hémorragie grave, grossesse…",Cardiology,Reasoning,True
254,"Vous êtes l’interne de garde, le SAMU vous adresse Monsieur D. âgé de 78 ans pour un poids au creux de l’estomac avec vomissements et sueurs. Les symptômes ont commencé deux heures auparavant alors qu’il faisait son jardin. Durant la transmission, on vous apprend que Mr D. est diabétique insulino- requérant, hypertendu. Il est suivi pour une insuffisance rénale chronique (créatininémie à 200 µmol/L). Son traitement associe Triatec® (ramipril) 1.25 mg/j, Tahor® (atorvastatine) 40 mg/j, Loxen 50mg/j, et de l’insuline (Lantus) 26 UI le matin.  A son arrivée en USIC, la tension artérielle est mesurée à 80/50 mm Hg et la fréquence cardiaque est à 55/min, la saturation en O2 est à 95% en air ambiant, fréquence respiratoire à 15/min et le score de Glasgow est à 14. L’auscultation pulmonaire est normale, il existe une turgescence jugulaire. Il n’existe pas de souffle à l’auscultation précordiale, l’examen neurologique est normal et l’abdomen est souple et indolore. On retrouve un reflux hépato-jugulaire. L’infirmière vous apporte l’ECG, il présente les éléments suivants :
 - Onde de Pardee : sus-décalage ST en DII, DIII, aVF V4V5V6 V3R V4R V7V8V9 -> infarctus de la paroi postérieure (DII, DIII, aVF, coronaire droite), du ventricule droit (coronaire droite).
 - Miroir en DI, aVF
 - Bradycardie",1,Quel est le diagnostic clinique ? Donnez les arguments clés?,"Infarctus du myocarde (SCAST+)
 Cliniquement :
 - Signes digestifs : nausées, vomissements, épigastralgie
 - Signes neurologiques : sueurs 
 - Hémodynamique : signes de choc (cardiogénique), hypotension ++, bradycardie
 - Signes d’insuffisance cardiaque droite : turgescence jugulaire, reflux hépato-jugulaire
 - Survenue à l’effort
 FDRCV :
 - HTA 
 - Diabète 
 - Insuffisance rénale
 - Sujet âgé
 - Sexe masculin",Cardiology,Reasoning,True
258,"Mme B., 81 ans est amenée aux urgences par les pompiers pour une dyspnée survenue dans la nuit.
 A l ‘interrogatoire vous apprenez qu’elle présente comme principal antécédent une prothèse de hanche mise en place il y a 2 ans et que son seul traitement comprend de l’amlodipine 5 mg/J depuis 10 ans,  HTA mal équilibrée. Cette dyspnée ne s’est pas accompagnée de douleurs thoraciques ou de fièvre les jours précédant l’épisode.  
 A l’arrivée, la patiente est consciente et orientée, assise, polypnéique. La pression artérielle est à 190/110 mmHg, la fréquence cardiaque est à 130 /min, la saturation est à 88% en air ambiant, la température est à 37,2°C. Les bruits du cœur sont irréguliers et l’auscultation pulmonaire révèle des râles crépitants bilatéraux remontant jusqu’à mi-champs. La patiente présente des œdèmes de membres inférieurs ainsi qu’une turgescence jugulaire. Le reste de l’examen clinique est normal  
 Le bilan biologique retrouve : 
 − GB=9000/mm3, Hb=12,3g/dL, plaquettes=230 000/mm3
 − BNP=1912 pg/mL, Troponine=0,03 µg/L. 
 − Créatininémie=70 µmol /L, urée=8 mmol/L , 
 − Ionogramme sanguin normal (Kaliémie 4 mmole/L )
 − Gazométrie artérielle (air ambiant) : pH=7,32, PO2=59mmHg, PCO2=50mmHg, HCO3=18mmo/L
 − Bilan hépatique normal (Transaminases, GammaGT) 
 − CRP<5mg/l  
 L'ECG présente les éléments suivants :
 - Tachycardie sinusale
 - Rythme irrégulier autour de 200 bpm
 - Ondes P pointues : hypertrophie auriculaire droite ? 
 - QRS fins
 - Présence d’une extrasystole ventriculaire
 - Hypertrophie ventriculaire gauche (Sokolov) : En faveur d’une insuffisance cardiaque chronique
 La radiographie de thorax est la suivante :
 - Radiographie thoracique de face, debout
 - Cage thoracique normale, pas de fractures visibles
 - Parenchyme : opacités alvéolaires bilatérales (bronchogramme aérique), à prédominance péri-hilaire, signant un œdème pulmonaire
 - Médiastin : dilatation cardiaque, En faveur d’une insuffisance cardiaque chronique ayant entrainé un OAP",1,Interprétez brièvement les examens complémentaires de biologie à votre disposition.,"Pas d’hyperleucocytose
 Bonne fonction rénale
 BNP augmenté : dyspnée d’origine cardiaque (et non pulmonaire), marque une augmentation de la pression intracardiaque
 GDS : acidose (pH<7,38) respiratoire (PCO2>40mmHg). Hypoxie, effet shunt. (HCO3- légèrement diminués plutôt en faveur d’une alcalose chronique que d’une acidose mixte.)",Cardiology,Reasoning,True
262,"Mme B., 81 ans est amenée aux urgences par les pompiers pour une dyspnée survenue dans la nuit.
 A l ‘interrogatoire vous apprenez qu’elle présente comme principal antécédent une prothèse de hanche mise en place il y a 2 ans et que son seul traitement comprend de l’amlodipine 5 mg/J depuis 10 ans,  HTA mal équilibrée. Cette dyspnée ne s’est pas accompagnée de douleurs thoraciques ou de fièvre les jours précédant l’épisode.  
 A l’arrivée, la patiente est consciente et orientée, assise, polypnéique. La pression artérielle est à 190/110 mmHg, la fréquence cardiaque est à 130 /min, la saturation est à 88% en air ambiant, la température est à 37,2°C. Les bruits du cœur sont irréguliers et l’auscultation pulmonaire révèle des râles crépitants bilatéraux remontant jusqu’à mi-champs. La patiente présente des œdèmes de membres inférieurs ainsi qu’une turgescence jugulaire. Le reste de l’examen clinique est normal  
 Le bilan biologique retrouve : 
 − GB=9000/mm3, Hb=12,3g/dL, plaquettes=230 000/mm3
 − BNP=1912 pg/mL, Troponine=0,03 µg/L. 
 − Créatininémie=70 µmol /L, urée=8 mmol/L , 
 − Ionogramme sanguin normal (Kaliémie 4 mmole/L )
 − Gazométrie artérielle (air ambiant) : pH=7,32, PO2=59mmHg, PCO2=50mmHg, HCO3=18mmo/L
 − Bilan hépatique normal (Transaminases, GammaGT) 
 − CRP<5mg/l  
 L'ECG présente les éléments suivants :
 - Tachycardie sinusale
 - Rythme irrégulier autour de 200 bpm
 - Ondes P pointues : hypertrophie auriculaire droite ? 
 - QRS fins
 - Présence d’une extrasystole ventriculaire
 - Hypertrophie ventriculaire gauche (Sokolov) : En faveur d’une insuffisance cardiaque chronique
 La radiographie de thorax est la suivante :
 - Radiographie thoracique de face, debout
 - Cage thoracique normale, pas de fractures visibles
 - Parenchyme : opacités alvéolaires bilatérales (bronchogramme aérique), à prédominance péri-hilaire, signant un œdème pulmonaire
 - Médiastin : dilatation cardiaque, En faveur d’une insuffisance cardiaque chronique ayant entrainé un OAP. Après 4 jours d’hospitalisation, la patiente est eupnéique en air ambiant. La FC, irrégulière, est en moyenne à 90bpm mais le rythme de l’ECG initial reste inchangé. Vous décidez alors de régulariser le rythme cardiaque.",5,Quel examen complémentaire morphologique réalisez-vous ? Dans quel but ?,ETO pour recherche d’un thrombus intra cardiaque avant cardioversion.,Cardiology,Reasoning,True
264,"Monsieur B. 55 ans, chauffeur de poids lourds, vous est adressé aux urgences par son médecin traitant pour sensation de brûlures rétrosternales depuis 15 jours à l’effort. Depuis ce matin, M. B. décrit deux épisodes de la même sensation mais survenant au repos et fugaces (<20 secondes). Ces brûlures sont associées à une pesanteur thoracique et irradient volontiers vers le cou. M. B. est fumeur actif. La dose cumulée est évaluée à 25 PA. Il ne prend aucun traitement actuellement mais il existe un antécédent d’ulcère gastrique non compliqué. M. B. mesure 172 cm pour 83 kg. La pression artérielle au repos est à 155/95 mm Hg. La fréquence respiratoire est à 12/min et la saturation en oxygène à 99% en air ambiant. L’examen physique est sans particularité, en dehors des pouls pédieux qui ne sont pas perçus. L’électrocardiogramme d’entrée montre les éléments suivants :
 - Rythme sinusal, une onde P avant chaque QRS et un QRS après chaque onde P
 - Rythme régulier, autour de 60 bpm
 - Trouble de la repolarisation avec des ondes T négatives.
  Le bilan biologique retrouve :  
 - NFS : Hb = 14.3 g/dl ; leucocytes = 6800/mm3 ; plaquettes = 180 000 /mm3.
 - Biochimie : ionogramme sanguin normal, transaminases normales, créatine phosphokinase = 190 U/l (Normale <170), CRP = 3 mg/l. 
 - Hémostase : TP = 96% ; TCA = 35/32",1,Quel est le diagnostic clinique ? Donnez 3 arguments clés?,"Angor typique car :
 - Localisation de la douleur : rétrosternale, irradiant dans le cou, sensation de pesanteur thoracique
 - Brève (<15 min)
 Angor instable de Prinzmetal : survient au repos, sans facteur déclenchant évident, donc pourrait être lié à un spasme coronaire",Cardiology,Reasoning,True
268,"Monsieur B. 55 ans, chauffeur de poids lourds, vous est adressé aux urgences par son médecin traitant pour sensation de brûlures rétrosternales depuis 15 jours à l’effort. Depuis ce matin, M. B. décrit deux épisodes de la même sensation mais survenant au repos et fugaces (<20 secondes). Ces brûlures sont associées à une pesanteur thoracique et irradient volontiers vers le cou. M. B. est fumeur actif. La dose cumulée est évaluée à 25 PA. Il ne prend aucun traitement actuellement mais il existe un antécédent d’ulcère gastrique non compliqué. M. B. mesure 172 cm pour 83 kg. La pression artérielle au repos est à 155/95 mm Hg. La fréquence respiratoire est à 12/min et la saturation en oxygène à 99% en air ambiant. L’examen physique est sans particularité, en dehors des pouls pédieux qui ne sont pas perçus. L’électrocardiogramme d’entrée montre les éléments suivants :
 - Rythme sinusal, une onde P avant chaque QRS et un QRS après chaque onde P
 - Rythme régulier, autour de 60 bpm
 - Trouble de la repolarisation avec des ondes T négatives.
  Le bilan biologique retrouve :  
 - NFS : Hb = 14.3 g/dl ; leucocytes = 6800/mm3 ; plaquettes = 180 000 /mm3.
 - Biochimie : ionogramme sanguin normal, transaminases normales, créatine phosphokinase = 190 U/l (Normale <170), CRP = 3 mg/l. 
 - Hémostase : TP = 96% ; TCA = 35/32. M. B. a été stabilisé par le traitement médical initial et les premiers éléments de votre bilan indiquent une élévation des marqueurs biologiques de nécrose myocardique.",5,Quel examen allez-vous réaliser ? Donnez deux objectifs essentiels à cet examen.,"Coronarographie
 - Localisation de la sténose
 - Revascularisation ",Cardiology,Reasoning,True
269,"Une femme de 60 ans consulte au service d’urgence pour une dyspnée apparue il y a plusieurs mois, s’aggravant depuis 2 semaines et des palpitations.
 Elle est dyspnéique au moindre effort. Elle dort avec 3 oreillers. L’interrogatoire retrouve un antécédent lymphome sous diaphragmatique en rémission complète traitée par radiothérapie et chimiothérapie comprenant des anthracyclines il y a 10 ans. Elle n’aucun antécédent familial. Elle consomme 1 whisky tous les soirs depuis de nombreuses années et fume ½ paquet par jour depuis l’âge de 20 ans.  
 L’examen clinique retrouve : TA 130/80 mmHg ; FC 110/min, Sat O2=91% ; T° 36.8C ; T 1.65 m ; P 65 kg Les bruits du cœur sont irréguliers avec un souffle holosystolique 2/6ème au 4ème espace intercostal gauche, des crépitants aux 2 bases pulmonaires, des œdèmes des chevilles, une turgescence jugulaire et un reflux hépatojugulaire. 
 L’ECG est joint:
 - Rythme non sinusal, dissociation auriculo-ventriculaire, QRS>P
 - Irrégulier, autour de 100 bpm
 - QRS élargis (environ 0,12s)
 - Négativation des ondes T en aVL, V4V5V6
 - Aspect QS en V1 : bloc de branche gauche complet
 - Hypertrophie ventricule gauche (Sokolov)
 - ACFA avec BBG.
 La radiographie de thorax est jointe :
 - Cardiomégalie 
 - Comblement des cul-de-sac pleuraux bilatéral
 - Syndrome de condensation alvéolaire
Les examens biologiques retrouvent : Natrémie 139 mmol/l ; Kaliémie 4.2mmol/l ; créatininémie 110µmol/l ; ASAT=150 UI/l (N<35 UI/l) ; ALAT 180 UI/l (N<35 UI/l) ; GammaGT 100 UI/l (N< 30 UI/l), Bilirubine totale 15 µmol/l (N < 20µmol/l), Troponine 0.14 ng/ml (N<0.15 ng/ml)",1,En quel stade NYHA est la patiente ?,NYHA = 4,Cardiology,Reasoning,True
301,"Un patient de 62 ans vient vous consulter (cabinet de médecine générale) en se plaignant d'avoir des difficultés respiratoires à l'effort. En particulier, il dit être devenu incapable de monter sans s'arrêter l'escalier d’un étage qui mène à son appartement. Il est également gêné à la marche lors de la montée de côtes. Il fait remonter cet essoufflement à ""quelques semaines"", et explique qu'il ""n'arrive pas à se remettre"" d'une bronchite qui a duré deux semaines et pour laquelle on lui a prescrit ""des antibiotiques et de la cortisone"" ainsi qu'un ""machin bleu à inhaler"". Il a complètement arrêté tous ces traitements depuis un mois.
 Le patient vous dit être divorcé, vivre seul, travailler comme ""homme à tout faire"" dans un hôtel. Son essoufflement actuel le gêne beaucoup dans son travail. Il a été opéré d'une hernie discale il y a 20 ans. Il prend depuis des années un médicament pour l'hypertension artérielle dont il ne sait pas le nom mais qui lui ""ralentit le cœur"" (à ce sujet, il vous dit qu'il souhaite que vous renouveliez son ordonnance, car son médecin traitant qui avait fait la prescription est parti à la retraite).
 Le patient vous dit avoir suivi un régime pour perdre du poids de sa propre initiative il y a un an : cela lui a permis de perdre 10 kilos qu'il n'a pas repris, il pèse actuellement 85 kilos pour 1m65. Il vous dit consommer une demi-bouteille de vin rouge par jour, quelques apéritifs le week-end. Il fume un paquet de cigarettes par jour (des ""Gauloises brunes sans filtre""), depuis qu'il a fait son service militaire à l'âge de 20 ans.
 En réponse à votre interrogatoire, il dit que l’on n’a jamais évoqué chez lui aucune maladie respiratoire, qu'il ne se connait pas d'allergie et n'en connait pas dans sa famille, qu'il ne s'est jamais plaint de rien avant la période actuelle. Il n'a jamais été hospitalisé. Il n'a jamais éprouvé de douleurs dans la poitrine, ni spontanément, ni à l'effort.",1,Quelle maladie respiratoire évoquez-vous en premier pour expliquer l'essoufflement à l'effort chez patient ?,"Résumé de l’interrogatoire :
 MDV : 
 - Tabac : 42PA (Gauloises sans filtre, très nocif)
 - Alcool : oui 
 - HTA traitée par β bloquants
 - Pas de notion d’allergie
 - Pas d’exposition professionnelle
 - Surpoids : BMI>30
 Histoire récente
 - Bronchite il y a quelques semaines, traitée par antibiotiques, corticoïdes et bronchodilatateur
 - Dyspnée (MRC = 2) d’apparition progressive depuis plusieurs semaines
 Pathologie évoquée : décompensation de BPCO (post-tabagique) sur infection respiratoire, à confirmer :
 Bronchite chronique : 2 épisodes par an d’au moins 3 semaines de bronchite
 Trouble ventilatoire obstructif aux EFR",Pulmonology,Reasoning,True
314,"M. D. âgé de 64 ans vient vous consulter car il a perdu 7 kg depuis 3 mois et crache du sang depuis 2 semaines. Il vous dit avoir des crachats jaunes avec du sang rouge à l’intérieur. Il dit avoir peut être eu des épisodes de fièvre. Il est d’origine portugaise, est marié et a une fille, travaille comme jardinier et fume 1 paquet de cigarettes par jour depuis l’âge de 18 ans. Il vous dit avoir eu une ""pneumonie"" en 2007 avec un « trou » dans le poumon et avoir bénéficié d’un traitement pendant plusieurs mois. A l’examen, M. D. pèse 52 kg pour 1,65 m, la température est à 37,6°C, la pression artérielle à 120/55 mmHg, la fréquence cardiaque à 85/min, la SpO2 à 95% en air ambiant et la fréquence respiratoire à 16/min. L’auscultation pulmonaire identifie une diminution du murmure vésiculaire dans le champ supérieur droit. Les aires ganglionnaires sont libres. Il n’y a pas d’hépatosplénomégalie. Le reste de l’examen est sans particularité. Vous décidez de l’hospitaliser.",2,Quelles sont les 3 diagnostics que vous évoquez en première intention ? Justifiez rapidement votre réponse.,"- Cancer broncho pulmonaire : tabac, hémoptysie, AEG
 - Aspergillome : « trou » dans le poumon, fébricule, hémoptysie
 - Tuberculose : fébricule, « trou » dans le poumon, AEG progressif, hémoptysie",Pulmonology,Reasoning,True
